Mark-to-Market Performance Summary,Data,Forex,CHF,-0.000032185,-0.000032185,1.0643,1.0767,-0.0000004,0,0,0,-0.0000004,;;
Mark-to-Market Performance Summary,Data,Forex,DKK,-0.000278705,-0.000278705,0.13409,0.13393,0.00000004,0,0,0,0.00000004,;;
Mark-to-Market Performance Summary,Data,Forex,EUR,149.645642814,3068.781902814,1.0000,1.0000,0,0,0,0,0,;;
Mark-to-Market Performance Summary,Data,Forex,GBP,-0.000026932,-0.000026932,1.2086,1.1649,0.00000117,0,0,0,0.00000117,;;
Mark-to-Market Performance Summary,Data,Forex,HKD,-0.000247225,-0.000247225,0.12433,0.11743,0.0000017,0,0,0,0.0000017,;;
Mark-to-Market Performance Summary,Data,Forex,NOK,0.00003929,0.00003929,0.084846,0.08325,-0.00000006,0,0,0,-0.00000006,;;
Mark-to-Market Performance Summary,Data,Forex,RUB,0.000000026,0.000000026,0.0085098,0.010629,0,0,0,0,0,;;
Mark-to-Market Performance Summary,Data,Forex,SEK,0.00049761,0.00049761,0.087252,0.091018,0.00000187,0,0,0,0.00000187,;;
Mark-to-Market Performance Summary,Data,Forex,USD,44.490043467,4449.520545997,0.96586,0.91256,-1003.17371145,-1.82214,-3.78284,0,-1008.77869145,;;
Mark-to-Market Performance Summary,Data,Total,,,,,,-1003.17370727,-1.82214,-3.78284,0,-1008.77868727,;;
Mark-to-Market Performance Summary,Data,Total (All Assets),,,,,,1819.08864403,-575.3761489,-25.33165118,79.8474096,1298.22825355,;;
Mark-to-Market Performance Summary,Data,Broker Interest Paid and Received,,,,,,,,,,-0.3476128,;;
Mark-to-Market Performance Summary,Data,Other Fees,,,,,,,,,,-26.74,;;
Total P/L for Statement Period,,,,,,,,,,,,1271.14064075,;;
Realized & Unrealized Performance Summary,Header,Asset Category,Symbol,Cost Adj.,Realized S/T Profit,Realized S/T Loss,Realized L/T Profit,Realized L/T Loss,Realized Total,Unrealized S/T Profit,Unrealized S/T Loss,Unrealized L/T Profit,Unrealized L/T Loss,Unrealized Total,Total,Code;;
Realized & Unrealized Performance Summary,Data,Warrants,PL4NLM,0,0,-393,0,0,-393,0,0,0,0,0,-393,;;
Realized & Unrealized Performance Summary,Data,Total,,0,0,-393,0,0,-393,0,0,0,0,0,-393,;;
Realized & Unrealized Performance Summary,Data,Stocks,ACTd,0,1106,-87.9,0,0,1018.1,0,0,0,0,0,1018.1,;;
Realized & Unrealized Performance Summary,Data,Stocks,FLXI,0,0,0,983.25,0,983.25,0,0,0,0,0,983.25,;;
Realized & Unrealized Performance Summary,Data,Stocks,GSHD,0,0,0,0,0,0,0,0,547.901024,0,547.901024,547.901024,;;
Realized & Unrealized Performance Summary,Data,Stocks,HYU,0,0,0,0,0,0,0,0,0,-235,-235,-235,;;
Realized & Unrealized Performance Summary,Data,Stocks,SXLU,0,0,0,736.1434743,0,736.1434743,0,0,0,0,0,736.1434743,;;
Realized & Unrealized Performance Summary,Data,Stocks,WPM,0,0,0,868.07248133,0,868.07248133,0,0,4075.49296,0,4075.49296,4943.56544133,;;
Realized & Unrealized Performance Summary,Data,Total,,0,1106,-87.9,2587.46595563,0,3605.56595563,0,0,4623.393984,-235,4388.393984,7993.95993963,;;
Realized & Unrealized Performance Summary,Data,Forex,USD,0,0.77649,-5.697531,0,0,-4.921041,0.000618,-19.266764041,0,0,-19.266146041,-24.187187041,;;
Realized & Unrealized Performance Summary,Data,Total,,0,0.77649,-5.697531,0,0,-4.921041,0.000619,-19.266771041,0,0,-19.266152041,-24.187193041,;;
Realized & Unrealized Performance Summary,Data,Total (All Assets),,0,1106.77649,-486.597531,2587.46595563,0,3207.64491463,0.000619,-19.266771041,4623.393984,-235,4369.127831959,7576.772746589,;;
Cash Report,Header,Currency Summary,Currency,Total,Securities,Futures,;;
Cash Report,Data,Starting Cash,Base Currency Summary,192.616701477,192.616701477,0,;;
Cash Report,Data,Commissions,Base Currency Summary,-25.33165118,-25.33165118,0,;;
Cash Report,Data,Withdrawals,Base Currency Summary,-7395.9,-7395.9,0,;;
Cash Report,Data,Dividends,Base Currency Summary,114.067728,114.067728,0,;;
Cash Report,Data,Broker Interest Paid and Received,Base Currency Summary,-0.3476128,-0.3476128,0,;;
Cash Report,Data,Cash Settling MTM,Base Currency Summary,1,1,0,;;
Cash Report,Data,Trades (Sales),Base Currency Summary,21392.7025468,21392.7025468,0,;;
Cash Report,Data,Trades (Purchase),Base Currency Summary,-7064.0318395,-7064.0318395,0,;;
Cash Report,Data,Other Fees,Base Currency Summary,-26.74,-26.74,0,;;
Cash Report,Data,Withholding Tax,Base Currency Summary,-34.2203184,-34.2203184,0,;;
Cash Report,Data,Sales Tax,EUR,-5.0806,-5.0806,0,;;
Cash Report,Data,Cash FX Translation Gain/Loss,Base Currency Summary,-19.49867267,-19.49867267,0,;;
Cash Report,Data,Ending Cash,Base Currency Summary,7129.236281748,7129.236281748,0,;;
Cash Report,Data,Ending Settled Cash,Base Currency Summary,29.268954548,29.268954548,0,;;
Cash Report,Data,Starting Collateral Value,Base Currency Summary,0,0,0,;;
Cash Report,Data,Net Securities Lent Activity,Base Currency Summary,2746.719043228,2746.719043228,0,;;
Cash Report,Data,Ending Collateral Value,Base Currency Summary,2729.649643228,2729.649643228,0,;;
Cash Report,Data,Net Cash Balance,Base Currency Summary,2729.649643228,2729.649643228,0,;;
Cash Report,Data,Net Settled Cash Balance,Base Currency Summary,2758.918597776,2758.918597776,0,;;
Cash Report,Data,Starting Cash,EUR,149.645642814,149.645642814,0,;;
Cash Report,Data,Commissions,EUR,-20.68284,-20.68284,0,;;
Cash Report,Data,Withdrawals,EUR,-7395.9,-7395.9,0,;;
Cash Report,Data,Broker Interest Paid and Received,EUR,-0.42,-0.42,0,;;
Cash Report,Data,Cash Settling MTM,EUR,1,1,0,;;
Cash Report,Data,Trades (Sales),EUR,15520.9597,15520.9597,0,;;
Cash Report,Data,Trades (Purchase),EUR,-5154,-5154,0,;;
Cash Report,Data,Other Fees,EUR,-26.74,-26.74,0,;;
Cash Report,Data,Sales Tax,EUR,-5.0806,-5.0806,0,;;
Cash Report,Data,Ending Cash,EUR,3068.781902814,3068.781902814,0,;;
Cash Report,Data,Ending Settled Cash,EUR,32.781902814,32.781902814,0,;;
Cash Report,Data,Starting Collateral Value,EUR,0,0,0,;;
Cash Report,Data,Net Securities Lent Activity,EUR,758.520043228,758.520043228,0,;;
Cash Report,Data,Ending Collateral Value,EUR,758.520043228,758.520043228,0,;;
Cash Report,Data,Net Cash Balance,EUR,3827.301946042,3827.301946042,0,;;
Cash Report,Data,Net Settled Cash Balance,EUR,791.301946042,791.301946042,0,;;
Cash Report,Data,Starting Cash,USD,44.490043467,44.490043467,0,;;
Cash Report,Data,Commissions,USD,-5.05895747,-5.05895747,0,;;
Cash Report,Data,Dividends,USD,118.2,118.2,0,;;
Cash Report,Data,Broker Interest Paid and Received,USD,0.08,0.08,0,;;
Cash Report,Data,Trades (Sales),USD,6383.495,6383.495,0,;;
Cash Report,Data,Trades (Purchase),USD,-2056.22553999,-2056.22553999,0,;;
Cash Report,Data,Withholding Tax,USD,-35.46,-35.46,0,;;
Cash Report,Data,Ending Cash,USD,4449.520545997,4449.520545997,0,;;
Cash Report,Data,Ending Settled Cash,USD,-3.849454003,-3.849454003,0,;;
Cash Report,Data,Starting Collateral Value,USD,0,0,0,;;
Cash Report,Data,Net Securities Lent Activity,USD,2160,2160,0,;;
Cash Report,Data,Ending Collateral Value,USD,2160,2160,0,;;
Cash Report,Data,Net Cash Balance,USD,6609.520545997,6609.520545997,0,;;
Cash Report,Data,Net Settled Cash Balance,USD,2156.150545997,2156.150545997,0,;;
Open Positions,Header,DataDiscriminator,Asset Category,Currency,Symbol,Quantity,Mult,Cost Price,Cost Basis,Close Price,Value,Unrealized P/L,Code;;
Open Positions,Data,Summary,Stocks,EUR,HYU,40,1,53.475,2139,47.6,1904,-235,;;
Open Positions,Total,,Stocks,EUR,,,,,2139,,1904,-235,;;
Open Positions,Data,Summary,Stocks,USD,GSHD,20,1,73.88,1477.6,103.9,2078,600.4,;;
Open Positions,Data,Summary,Stocks,USD,WPM,150,1,40.786666667,6118,70.56,10584,4466,;;
Open Positions,Total,,Stocks,USD,,,,,7595.6,,12662,5066.4,;;
Open Positions,Total,,Stocks,EUR,,,,,6931.440736,,11554.83472,4623.393984,;;
Open Positions,Total,,Stocks,EUR,,,,,9070.440736,,13458.83472,4388.393984,;;
Forex Balances,Header,Asset Category,Currency,Description,Quantity,Cost Price,Cost Basis in EUR,Close Price,Value in EUR,Unrealized P/L in EUR,Code;;
Forex Balances,Data,Forex,EUR,EUR,3068.781902814,0,-3068.781902814,1,3068.781902814,0,;;
Forex Balances,Data,Forex,EUR,USD,4449.52055,0.916889938,-4079.720619041,0.91256,4060.454473,-19.266146041,;;
Forex Balances,Data,Total,,,,,-7148.502430855,,7129.236282814,-19.266152041,;;
Net Stock Position Summary,Header,Asset Category,Currency,Symbol,Description,Shares at IB,Shares Borrowed,Shares Lent,Net Shares;;
Net Stock Position Summary,Data,Stocks,EUR,ACTd,ALZCHEM GROUP AG,0,0,-8,-8;;
Net Stock Position Summary,Data,Stocks,EUR,HYU,HYUNDAI MOTOR CO-REG S GDR,40,0,0,40;;
Net Stock Position Summary,Data,Stocks,USD,GSHD,GOOSEHEAD INSURANCE INC -A,20,0,-20,0;;
Net Stock Position Summary,Data,Stocks,USD,WPM,WHEATON PRECIOUS METALS CORP,150,0,0,150;;
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code;;
"Trades,Data,Order,Warrants,EUR,PL4NLM,""2025-02-17, 12:02:26"",""1,000"",0.39,0.39,-390,-4,394,0,0,O";;
"Trades,Data,Order,Warrants,EUR,PL4NLM,""2025-03-07, 15:00:00"",""-1,000"",0,0.001,0,0,0,0,-1,Ex";O;
"Trades,Data,Order,Warrants,EUR,PL4NLM,""2025-03-07, 15:00:00"",""1,000"",0,0,0,0,0,0,0,Ca";;
"Trades,Data,Order,Warrants,EUR,PL4NLM,""2025-03-07, 15:00:00"",""-1,000"",0,0,0,0,-394,-393,0,C";Ex;
Trades,SubTotal,,Warrants,EUR,PL4NLM,,0,,,-390,-4,0,-393,-1,;;
Trades,Total,,Warrants,EUR,,,,,,-390,-4,0,-393,-1, ;;
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code;;
"Trades,Data,Order,Stocks,EUR,ACTd,""2025-04-07, 03:40:54"",-100,78,90.3,7800,-3.9,-6690.1,1106,-1230,C";O;P
"Trades,Data,Order,Stocks,EUR,ACTd,""2025-04-07, 03:42:19"",60,79.4,90.3,-4764,-3,4679.1,-87.9,654,C";;
Trades,SubTotal,,Stocks,EUR,ACTd,,-40,,,3036,-6.9,-2011,1018.1,-576,;;
"Trades,Data,Order,Stocks,EUR,FLXI,""2025-02-04, 03:17:33"",-50,40.985,41.015,2049.25,-3,-1514.5,531.75,-1.5,C";IA;
"Trades,Data,Order,Stocks,EUR,FLXI,""2025-03-03, 10:11:39"",-100,37.635,37.57,3763.5,-3,-3309,451.5,6.5,C";;
Trades,SubTotal,,Stocks,EUR,FLXI,,-150,,,5812.75,-6,-4823.5,983.25,5,;;
Trades,Total,,Stocks,EUR,,,,,,8848.75,-12.9,-6834.5,2001.35,-571, ;;
"Trades,Data,Order,Stocks,USD,SXLU,""2025-04-07, 03:41:24"",-100,44.5337,44.6563,4453.37,-4,-3646.5,802.87,-12.26,C";;
Trades,SubTotal,,Stocks,USD,SXLU,,-100,,,4453.37,-4,-3646.5,802.87,-12.26,;;
"Trades,Data,Order,Stocks,USD,WPM,""2025-04-01, 10:59:26"",-25,77.205,76.83,1930.125,-1.058957475,-992.25,936.816043,9.375,C";;
Trades,SubTotal,,Stocks,USD,WPM,,-25,,,1930.125,-1.058957475,-992.25,936.816043,9.375,;;
Trades,Total,,Stocks,USD,,,,,,6383.495,-5.058957475,-4638.75,1739.686043,-2.885, ;;
Trades,Total,,Stocks,EUR,,,,,,5871.7428468,-4.648811175,-4262.87808,1604.215956065,-2.5540089, ;;
Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,,Proceeds,Comm in EUR,,,MTM in EUR,Code;;
"Trades,Data,Order,Forex,USD,EUR.USD,""2025-02-04, 03:20:34"",123.03,1.0322,,-126.991566,-1.93358,,,0.674896,";;
"Trades,Data,Order,Forex,USD,EUR.USD,""2025-02-06, 20:44:36"",0.2297,1.03835,,-0.238508995,0,,,-0.001258,";;
"Trades,Data,Order,Forex,USD,EUR.USD,""2025-04-01, 11:05:36"",""1,784.95"",1.0807,,-1928.995465,-1.84926,,,-2.495778,";;
Trades,SubTotal,,Forex,USD,EUR.USD,,1908.2097,,,-2056.225539995,-3.78284,,,-1.82214,;;
Trades,Total,,Forex,USD,,,,,,-2056.225539995,-3.78284,,,-1.82214, ;;
Trades,Total,,Forex,EUR,,,,,,-1910.031839504,-3.78284,,,-1.82214, ;;
Option Cash Settlements,Header,Currency,Date,Description,Amount,;;
"Option Cash Settlements,Data,EUR,""2025-03-07, 15:00:00"",Exercise ( XAGUSD 07MAR25 33.5 C ),1,";;
"Option Cash Settlements,Data,EUR,""2025-03-07, 15:00:00"",CANCEL Exercise ( XAGUSD 07MAR25 33.5 C ),-1,";;
"Option Cash Settlements,Data,EUR,""2025-03-07, 15:00:00"",Exercise ( XAGUSD 07MAR25 33.5 C ),1,";;
Option Cash Settlements,Data,Total,,,1,;;
Deposits & Withdrawals,Header,Currency,Settle Date,Description,Amount;;
Deposits & Withdrawals,Data,EUR,2025-02-06,Disbursement Initiated by John Doe,-2195.9;;
Deposits & Withdrawals,Data,EUR,2025-03-05,Disbursement Initiated by John Doe,-3000;;
Deposits & Withdrawals,Data,EUR,2025-04-03,Disbursement Initiated by John Doe,-2200;;
Deposits & Withdrawals,Data,Total,,,-7395.9;;
Fees,Header,Subtitle,Currency,Date,Description,Amount;;
Fees,Data,Other Fees,EUR,2025-03-18,j******77:US Equity and Options Add-On Streaming Bundle Non-Professional for Mar 2025,-4.14;;
Fees,Data,Other Fees,EUR,2025-03-18,j******77:US Securities Snapshot and Futures Value Bundle Non-Professional for Mar 2025,-9.19;;
Fees,Data,Other Fees,EUR,2025-04-02,j******77:US Equity and Options Add-On Streaming Bundle Non-Professional for Apr 2025,-4.16;;
Fees,Data,Other Fees,EUR,2025-04-02,j******77:US Securities Snapshot and Futures Value Bundle Non-Professional for Apr 2025,-9.25;;
Fees,Data,Total,,,,-26.74;;
"Fees,Notes,""Market data is provided by Global Financial Information Services (GmbH). Your local broker collects amounts owed for fees and tax for such data on behalf of Global Financial Information Services (GmbH). Note, you are responsible for any applicable taxes relating to the provision of these services.""";;
Dividends,Header,Currency,Date,Description,Amount;;
Dividends,Data,USD,2025-01-31,GSHD(US38267D1090) Cash Dividend USD 5.91 per Share (Ordinary Dividend),118.2;;
Dividends,Data,Total,,,118.2;;
Dividends,Data,Total in EUR,,,114.067728;;
Withholding Tax,Header,Currency,Date,Description,Amount,Code;;
Withholding Tax,Data,USD,2025-01-31,GSHD(US38267D1090) Cash Dividend USD 5.91 per Share - US Tax,-35.46,;;
Withholding Tax,Data,Total,,,-35.46,;;
Withholding Tax,Data,Total in EUR,,,-34.2203184,;;
Interest,Header,Currency,Date,Description,Amount;;
Interest,Data,EUR,2025-03-05,EUR Debit Interest for Feb-2025,-0.3;;
Interest,Data,EUR,2025-04-03,EUR Debit Interest for Mar-2025,-0.12;;
Interest,Data,Total,,,-0.42;;
Interest,Data,USD,2025-04-03,USD IBKR Managed Securities (SYEP) Interest for Mar-2025,0.08;;
Interest,Data,Total,,,0.08;;
Interest,Data,Total in EUR,,,0.0723872;;
Interest,Data,Total Interest in EUR,,,-0.3476128;;
Interest Accruals,Header,Currency,Field Name,Field Value;;
Interest Accruals,Data,Base Currency Summary,Starting Accrual Balance,0;;
Interest Accruals,Data,Base Currency Summary,Interest Accrued,-0.3458704;;
Interest Accruals,Data,Base Currency Summary,Accrual Reversal,0.3476128;;
Interest Accruals,Data,Base Currency Summary,FX Translation,-0.0017424;;
Interest Accruals,Data,Base Currency Summary,Ending Accrual Balance,0;;
Interest Accruals,Data,EUR,Starting Accrual Balance,0;;
Interest Accruals,Data,EUR,Interest Accrued,-0.42;;
Interest Accruals,Data,EUR,Accrual Reversal,0.42;;
Interest Accruals,Data,EUR,Ending Accrual Balance,0;;
Interest Accruals,Data,USD,Starting Accrual Balance,0;;
Interest Accruals,Data,USD,Interest Accrued,0.08;;
Interest Accruals,Data,USD,Accrual Reversal,-0.08;;
Interest Accruals,Data,USD,Ending Accrual Balance,0;;
Interest Accruals,Data,USD,Ending Accrual Balance in EUR,0;;
Change in Dividend Accruals,Header,Asset Category,Currency,Symbol,Date,Ex Date,Pay Date,Quantity,Tax,Fee,Gross Rate,Gross Amount,Net Amount,Code;;
Change in Dividend Accruals,Data,Starting Dividend Accruals in EUR,,,,,,,,,,,0,;;
Change in Dividend Accruals,Data,Stocks,USD,GSHD,2025-01-20,2025-01-21,2025-01-31,20,35.46,0,5.91,118.2,82.74,Po;;
Change in Dividend Accruals,Data,Stocks,USD,GSHD,2025-01-31,2025-01-21,2025-01-31,20,-35.46,0,5.91,-118.2,-82.74,Re;;
Change in Dividend Accruals,Data,Stocks,USD,WPM,2025-03-31,2025-04-01,2025-04-11,175,4.33,0,0.165,28.87,24.54,Po;;
Change in Dividend Accruals,Data,Total,,,,,,,4.33,0,,28.87,24.54,;;
Change in Dividend Accruals,Data,Total in EUR,,,,,,,3.7917034,0,,26.0163154,22.224612,;;
Change in Dividend Accruals,Data,Ending Dividend Accruals in EUR,,,,,,,,,,,22.3942224,;;
Stock Yield Enhancement Program Securities Lent,Header,Asset Category,Currency,Symbol,Transaction ID,Quantity,Interest Rate on Customer Collateral (%),Collateral Amount;;
Stock Yield Enhancement Program Securities Lent,Data,Stocks,EUR,ACTd,SLB.104381732,-3,1.5,284.445043228;;
Stock Yield Enhancement Program Securities Lent,Data,Stocks,EUR,ACTd,SLB.104381708,-5,1.5,474.075;;
Stock Yield Enhancement Program Securities Lent,Data,Total,,,,,,758.520043228;;
Stock Yield Enhancement Program Securities Lent,Data,Stocks,USD,GSHD,SLB.104397821,-20,0.05,2160;;
Stock Yield Enhancement Program Securities Lent,Data,Total,,,,,,2160;;
Stock Yield Enhancement Program Securities Lent,Data,Total in EUR,,,,,,1971.1296;;
Stock Yield Enhancement Program Securities Lent Activity,Header,Asset Category,Currency,Symbol,Date,Description, ,Transaction ID,Quantity,Collateral Amount;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,EUR,ACTd,2025-04-08,New Loan Allocation, ,SLB.104381732,-3,284.445043228;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,EUR,ACTd,2025-04-08,New Loan Allocation, ,SLB.104381708,-5,474.075;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Total,,,,,,,,758.520043228;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-20,New Loan Allocation, ,SLB.103708980,-20,2340;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-21,Loan Return Allocation, ,SLB.103708980,20,-2340;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-24,New Loan Allocation, ,SLB.103815744,-20,2380;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-25,Loan Return Allocation, ,SLB.103815744,20,-2380;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-25,New Loan Allocation, ,SLB.103868790,-20,2440;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-26,Loan Return Allocation, ,SLB.103868790,20,-2440;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-26,New Loan Allocation, ,SLB.103919884,-20,2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-27,Loan Return Allocation, ,SLB.103919884,20,-2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-28,New Loan Allocation, ,SLB.104023613,-20,2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-31,Loan Return Allocation, ,SLB.104023613,20,-2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-03-31,New Loan Allocation, ,SLB.104076479,-20,2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-01,Loan Return Allocation, ,SLB.104076479,20,-2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-01,New Loan Allocation, ,SLB.104128131,-20,2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-02,Loan Return Allocation, ,SLB.104128131,20,-2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-02,New Loan Allocation, ,SLB.104180604,-20,2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-03,Loan Return Allocation, ,SLB.104180604,20,-2420;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-03,New Loan Allocation, ,SLB.104232664,-20,2500;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-04,Loan Return Allocation, ,SLB.104232664,20,-2500;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-04,New Loan Allocation, ,SLB.104283119,-20,2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-07,Loan Return Allocation, ,SLB.104283119,20,-2480;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-07,New Loan Allocation, ,SLB.104339768,-20,2200;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-08,Loan Return Allocation, ,SLB.104339768,20,-2200;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Stocks,USD,GSHD,2025-04-08,New Loan Allocation, ,SLB.104397821,-20,2160;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Total,,,,,,,,2160;;
Stock Yield Enhancement Program Securities Lent Activity,Data,Total in EUR,,,,,,,,1988.199;;
Stock Yield Enhancement Program Securities Lent Interest Details,Header,Currency,Value Date,Symbol,Start Date,Quantity,Collateral Amount,Market-based Rate (%),Interest Rate on Customer Collateral (%),Interest Paid to Customer,Code;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-20,GSHD,2025-03-20,-20,2340,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-24,GSHD,2025-03-24,-20,2380,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-25,GSHD,2025-03-25,-20,2440,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-26,GSHD,2025-03-26,-20,2480,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-28,GSHD,2025-03-28,-20,2480,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-29,GSHD,2025-03-28,-20,2480,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-30,GSHD,2025-03-28,-20,2480,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,USD,2025-03-31,GSHD,2025-03-31,-20,2420,0.1,0.05,0.01,Po;;
Stock Yield Enhancement Program Securities Lent Interest Details,Data,Total,,,,,,,,0.08,;;
